id,title,stock,price,type_id,primaryProductId,image,url_key,categories,short_description,description,description_sin_stop_words,especificaciones_del_producto,especificaciones_del_producto_sin_stop_words,modo_de_uso,modo_de_uso_sin_stop_words,meta_title,meta_keyword,meta_description,category_names,marca,weight,acabado,beneficios,catquiz,clasificacion,cobertura,created_at,country_of_manufacture,color_family,color,cyber,descuento,formato,highlights,ingredientes,is_returnable,news,preocupacion,product_label,status,subcatquiz,tipo_de_piel,tipo_de_punta,tipo_esmalte,zona_de_aplicacion
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO-02504,Crema Hidratante Facial Thirst No More!,14,9990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/f/o/formula-10-fo-02504_1.jpg,https://dbs.cl/crema-hidratante-facial-thirst-no-more-fo-02504,Skincare > Hidratantes,Crema Facial,"¡Hidratación profunda para la piel de tu rostro con la Crema Hidratante Thirst No More! de Formula 10.0.6!Humecta e hidrata la piel deshidratada con esta poderosa crema hidratante que contiene una combinación natural de extractos de sandía, lentejas y manzana. Su fórmula vegana y cruelty free con ácido hialurónico proporciona un segundo impulso de hidratación, mientras que el té blanco ayuda a mantener un rostro fresco, radiante y brillante. Ideal para todo tipo de pieles, desde las grasas a las más secas. Thirst No More! es un hidratante de uso diario que repone el agua en la piel sin exagerar. Para las pieles secas, puede usarse AM y PMNo contiene parabenos, sulfatos, aceites minerales, gluten, aceites, siliconas ni colorantes.","¡Hidratación profunda piel rostro Crema Hidratante Thirst No More! Formula 10 0 6! Humecta hidrata piel deshidratada poderosa crema hidratante contiene combinación natural extractos sandía, lentejas manzana Su fórmula vegana cruelty free ácido",Contenido: 50 ml  | Tamaño: 3.7 cm largo x 3.7 cm ancho x 12.1 cm alto,Contenido: 50 ml | Tamaño: 3 7 cm largo x 3 7 cm ancho x 12 1 cm alto,"Con la piel limpia y seca, extender una capa fina sobre el rostro, cuello y escote, evitando el contorno de los ojos.","Con piel limpia seca, extender capa fina rostro, cuello escote, evitando contorno ojos",Crema Hidratante Facial Thirst No More! | dbs.cl,"Hidratantes, Formula 10.0.06",Hidratante facial con extractos naturales y té blanco que proporcionan un segundo aumento de humedad para ayudarte a mantener una piel fresca y radiante.,"Hidratantes,Skincare,Formula 10.0.6,Shop,Season,Hasta $15.000,DBS,Hasta 30% dcto,CYBER,Beauty Offers,Cremas faciales",FORMULA 10.0.6,50 ml,,Hidratación,Skincare,Cruelty Free,,2020-05-18 02:56:11,US,,01 Transparent,No,,Crema,"Antiedad,Antioxidante,Cruelty free",Ácido hialurónico,,No,Sequedad,,Habilitado,Hidratantes,Todo tipo,,,Rostro
,,,,,,,,Marcas > Formula 10.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Navidad > Regalos por Precio > Hasta $15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Skincare > Cremas faciales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO-02538,Crema Hidratante Matificante Seriously Shine Free,19,9990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/f/o/formula-10-fo-02538_1.jpg,https://dbs.cl/crema-hidratante-matificante-seriously-shine-free-fo-02538,Skincare > Hidratantes,Crema Facial,"¡Dile adiós al exceso de brillo y sebo con la Crema Hidratante Matificante Seriously Shine Free de Formula 10.0.6!Esta crema hidratante de acabado mate mantiene la piel suave y sin oleosidades durante todo el día. Su fórmula vegana, cruelty free y sin aceites asegura que los poros no se obstruyan. Contiene aloe vera que suaviza la piel mientras que el extracto de bambú absorbe el exceso de aceites para mantener un cutis equilibrado. Seriously Shine Free es ideal para pieles grasas, pero también funciona con todos los tipos de pieles. No contiene parabenos, sulfatos, aceites minerales, gluten, aceites ni colorantes. ","¡Dile adiós exceso brillo sebo Crema Hidratante Matificante Seriously Shine Free Formula 10 0 6! Esta crema hidratante acabado mate mantiene piel suave oleosidades día Su fórmula vegana, cruelty free aceites asegura poros obstruyan Contiene aloe vera",Contenido: 75 ml | Tamaño: 5.6 cm largo x 3.5 cm ancho x 14.5 cm alto,Contenido: 75 ml | Tamaño: 5 6 cm largo x 3 5 cm ancho x 14 5 cm alto,"Sobre la piel recién limpia, extender sobre todo el rostro con la punta de los dedos, evitando el área de los ojos. ","Sobre piel recién limpia, extender rostro punta dedos, evitando área ojos",Crema Hidratante Matificante Seriously Shine Free | dbs.cl,"Hidratantes, Formula 10.0.06",Matificador Hidratante Sin Aceite,"Hidratantes,Skincare,Formula 10.0.6,Shop,Season,Hasta $15.000,Skinimalism,Beauty 8,Cremas faciales,DBS,Hasta 30% dcto,CYBER,Beauty Offers",FORMULA 10.0.6,75 ml,,"Hidratación,Brillo",Skincare,Cruelty Free,,2020-05-18 02:56:11,US,,,No,,Crema,"Antiedad,Antioxidante,Cruelty free",Aloe vera,,No,Poros,,Habilitado,Hidratantes,Todo tipo,,,Rostro
,,,,,,,,Marcas > Formula 10.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Navidad > Regalos por Precio > Hasta $15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Summer Glow > Skinimalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Beauty 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Skincare > Cremas faciales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO-02535,Espuma Facial De Limpieza Best Face Forward,16,7990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/f/o/formula-10-fo-02535_1.jpg,https://dbs.cl/espuma-facial-de-limpieza-best-face-forward-fo-02535,Skincare > Limpiadores,Espuma de Limpieza Facial,"¡Logra un cutis brillante y limpio con la Espuma Facial Best Face Forward de Formula 10.0.6!Este gel limpiador fresco y espumoso elimina la grasa e impurezas dejando la piel radiante. Su fórmula vegana y cruelty free con té verde y manzanilla calman el cutis, mientras que el maracuyá equilibra la piel para que luzca limpia, clara y saludable todos los díasBest Face Forward funciona especialmente bien para pieles grasas con tendencia al acné, ya que limpia e iguala el tono de la pielNo contiene parabenos, aceite mineral, gluten, aceite ni siliconas.","¡Logra cutis brillante limpio Espuma Facial Best Face Forward Formula 10 0 6! Este gel limpiador fresco espumoso elimina grasa impurezas dejando piel radiante Su fórmula vegana cruelty free té verde manzanilla calman cutis, mientras maracuyá equilibra",Contenido: 150 ml  | Tamaño: 7.0 cm largo x 3.5 cm ancho x 17.8 cm alto,Contenido: 150 ml | Tamaño: 7 0 cm largo x 3 5 cm ancho x 17 8 cm alto,Aplica una pequeña cantidad del gel limpiador en el rostro húmedo. Masajea para generar espuma y luego enjuaga con abundante agua tibia  Utilice el limpiador diariamente.,Aplica pequeña cantidad gel limpiador rostro húmedo Masajea generar espuma luego enjuaga abundante agua tibia Utilice limpiador diariamente,Espuma Facial de Limpieza Best Face Forward | dbs.cl,"Limpiadores, Formula 10.0.06",Espuma Facial De Limpieza,"Limpiadores,Skincare,Formula 10.0.6,Shop,Season,Hasta $15.000,DBS,Hasta 30% dcto,CYBER,Beauty Offers",FORMULA 10.0.6,150 ml,,,Skincare,Cruelty Free,,2020-05-18 02:56:11,US,,,No,,Gel,"Antiedad,Antioxidante,Cruelty free",Té verde,,No,"Oleosidad,Poros",,Habilitado,Limpiadores,Todo tipo,,,Rostro
,,,,,,,,Marcas > Formula 10.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Navidad > Regalos por Precio > Hasta $15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO-02555,Parches De Limpieza Facial Down To The Pore,9,6990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/f/o/formula-10-fo-02555.jpg,https://dbs.cl/parches-de-limpieza-facial-down-to-the-pore-fo-02555,Skincare > Mascarillas,Parches de Limpieza,"¡Arrasa con los puntos negros e impurezas que se crucen en tu camino con los Parches de Limpieza Facial Down To The Pore de Formula 10.0.6!Deja tu piel libre de imperfecciones y erupciones con estos parches veganos y cruelty free que cuentan con la fuerza del carbón vegetal y el poder del hamamelis para resguardar los poros de la oleosidad y las impurezas persistentes. Una solución rápida a los puntos negros de la nariz, barbilla y frente que extrae el exceso de sebo, elimina la suciedad y absorbe las toxinasIdeal para pieles grasas, mixtas y normales. Incluye 8 tiras en total: 4 para la nariz y 4 para la barbilla/frenteNo contiene parabenos, sulfatos, aceites minerales, gluten, aceites, siliconas, fragancias ni colorantesNo la utilice en granos, manchas inflamadas, piel quemada por el sol o notablemente seca. Evitar su uso en pieles que están siendo tratadas con medicamentos para el acné. No usar más de una vez cada 3 días. ",¡Arrasa puntos negros impurezas crucen camino Parches Limpieza Facial Down To The Pore Formula 10 0 6! Deja piel libre imperfecciones erupciones parches veganos cruelty free cuentan fuerza carbón vegetal poder hamamelis resguardar poros oleosidad,Contenido: Set 8 unidades | Tamaño: 6.7 cm largo x 2.3 cm ancho x 12.7 cm alto,Contenido: Set 8 unidades | Tamaño: 6 7 cm largo x 2 3 cm ancho x 12 7 cm alto,"Paso 1: Con la piel limpia, moje bien la nariz, frente y barbilla. Las tiras no se pegarán si la piel está seca.  Paso 2: Con las manos secas, despegue las tiras de las fundas de plástico y aplíquelas en la nariz, la frente y la barbilla con el lado brillante hacia la piel. Alise el contorno de la nariz, frente y barbilla y deje secar durante 10 a 15 minutos o hasta que esté rígida.  Paso 3: Retire la tira lenta y cuidadosamente empezando por los bordes y tirando hacia el centro. Si la tira se adhiere demasiado, humedézcala y retírela con cuidado  No la utilice en granos, manchas inflamadas, piel quemada por el sol o notablemente seca. Evitar su uso en pieles que están siendo tratadas con medicamentos para el acné. No usar más de una vez cada 3 días. ","Paso 1: Con piel limpia, moje bien nariz, frente barbilla Las tiras pegarán si piel seca Paso 2: Con manos secas, despegue tiras fundas plástico aplíquelas nariz, frente barbilla lado brillante hacia piel Alise contorno nariz, frente barbilla deje secar",Parches de Limpieza Facial Down To The Pore | dbs.cl,"Mascarillas, Formula 10.0.06",Parches De Limpieza Facial,"Mascarillas,Skincare,Formula 10.0.6,Shop,Season,DBS,Hasta 30% dcto,CYBER,Beauty Offers",FORMULA 10.0.6,100 ml,,,Skincare,Cruelty Free,,2020-05-18 02:56:11,US,,Meet Violeta,No,,Papel,"Antiedad,Antioxidante,Cruelty free",,,No,"Puntos negros,Poros",,Habilitado,Mascarillas,Todo tipo,,,Rostro
,,,,,,,,Marcas > Formula 10.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO-02569,Mascarilla Facial Exfoliante Get Your Glow On,8,8990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/f/o/formula-10-fo-02569_1.jpg,https://dbs.cl/mascarilla-facial-exfoliante-get-your-glow-on-fo-02569,Skincare > Mascarillas,Mascarilla Facial,"¡Ilumina y revitaliza la piel cansada con la Mascarilla Facial Exfoliante Get Your Glow On!Esta exfoliación elimina las células muertas de la piel, desobstruye los poros y elimina los brotes. Su fórmula vegana y cruelty free ayuda a las pieles apagadas, congestionadas y oleosas, ya que ilumina el cutis gracias a su componente de papaya que hace que la piel se vea y sienta más brillante y suave. Esta mascarilla facial peel off rejuvenecedora es la manera perfecta de mantener su piel libre de impurezasIdeal para las pieles grasas, es normal que la aplicación de esta mascarilla produzca una ligera sensación de hormigueo. Para pieles secas y sensibles, realice una prueba antes de aplicarlo en todo el rostroNo contiene parabenos, sulfatos, aceites minerales, gluten, aceites ni siliconas.","¡Ilumina revitaliza piel cansada Mascarilla Facial Exfoliante Get Your Glow On! Esta exfoliación elimina células muertas piel, desobstruye poros elimina brotes Su fórmula vegana cruelty free ayuda pieles apagadas, congestionadas oleosas, ilumina cutis",Contenido: 100 ml | Tamaño: 6.1 cm largo x 3.2 cm ancho x 15.2 cm alto,Contenido: 100 ml | Tamaño: 6 1 cm largo x 3 2 cm ancho x 15 2 cm alto,"Paso 1: Sobre la piel recién limpia y seca, aplica una fina capa sobre el rostro y el cuello, evitando el área de los ojos.  Paso 2: Deje que la mascarilla se seque durante 10 a 15 minutos y luego retírela empezando por la línea de la mandíbula hacia arriba Paso 3: Aclara con abundante agua tibia y seca la piel gentilmente.   Utilice la mascarilla 1 a 3 veces por semana en días alternos.","Paso 1: Sobre piel recién limpia seca, aplica fina capa rostro cuello, evitando área ojos Paso 2: Deje mascarilla seque 10 15 minutos luego retírela empezando línea mandíbula hacia arriba Paso 3: Aclara abundante agua tibia seca piel gentilmente Utilice",Mascarilla Facial Exfoliante Get Your Glow On | dbs.cl,"Mascarillas, Formula 10.0.06",Mascarilla Facial Exfoliante,"Mascarillas,Skincare,Formula 10.0.6,Shop,Season,Hasta $15.000,DBS,Hasta 30% dcto,CYBER,Beauty Offers",FORMULA 10.0.6,100 ml,,"Brillo,Fortalecedor",Skincare,Cruelty Free,,2020-05-18 02:56:11,US,,Blackest Black,No,,Gel,"Antiedad,Antioxidante,Cruelty free",Vitamina C,,No,"Antiedad,Poros,Manchas",,Habilitado,Mascarillas,Todo tipo,,,Rostro
,,,,,,,,Marcas > Formula 10.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Navidad > Regalos por Precio > Hasta $15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO-02506,Mascarilla Facial Exfoliante 3 En 1 Three Times Sublime,8,8990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/f/o/formula-10-fo-02506_1.jpg,https://dbs.cl/mascarilla-facial-exfoliante-3-en-1-three-times-sublime-fo-02506,Skincare > Mascarillas,Mascarilla Facial,"¿Poco tiempo para tu skincare? Este milagroso producto multiacción 3 en 1 actúa como limpiador, exfoliante y mascarilla, para una renovación completa del cutisSu fórmula vegana y cruelty free con pomelo rosa y jojoba limpia contiene micro partículas que limpian y exfolian la piel dejándola súper suaveLas personas con pieles grasas, normales y mixtas pueden utilizar Three Times Sublime 3 veces por semana como mascarilla o exfoliante. Para las pieles secas, se recomienda una vez a la semana para obtener los beneficios de un exfoliante sin irritar o resecar la pielNo contiene parabenos, sulfatos, aceites minerales, gluten ni siliconas.","¿Poco tiempo skincare? Este milagroso producto multiacción 3 1 actúa limpiador, exfoliante mascarilla, renovación completa cutis Su fórmula vegana cruelty free pomelo rosa jojoba limpia contiene micro partículas limpian exfolian piel dejándola súper",Contenido: 100 ml  | Tamaño: 6.1 cm largo x 3.2 cm ancho x 15.2 cm alto,Contenido: 100 ml | Tamaño: 6 1 cm largo x 3 2 cm ancho x 15 2 cm alto,"Paso 1: Con la piel limpia y seca, extender una capa fina sobre el rostro y cuello, evitando el contorno de los ojos Paso 2: Deje secar y actuar la mascarilla durante 10 a 15 minutos Paso 3: Humedezca y masajee suavemente hasta que la piel se sienta suave y limpia. Luego, aclare con abundante agua tibia Paso 4: Sece la piel gentilmente  Utilice la mascarilla 1 a 3 veces por semana en días alternos. ","Paso 1: Con piel limpia seca, extender capa fina rostro cuello, evitando contorno ojos Paso 2: Deje secar actuar mascarilla 10 15 minutos Paso 3: Humedezca masajee suavemente piel sienta suave limpia Luego, aclare abundante agua tibia Paso 4: Sece piel",Mascarilla Facial Exfoliante 3 en 1 Three Times Sublime | dbs.cl,"Mascarillas, Formula 10.0.06",Mascarilla Exfoliante 3 En 1,"Mascarillas,Skincare,Formula 10.0.6,Shop,Season,Hasta $15.000,DBS,Hasta 30% dcto,CYBER,Beauty Offers",FORMULA 10.0.6,100 ml,,,Skincare,Cruelty Free,,2020-05-18 02:56:11,US,,,No,,Crema,"Antiedad,Antioxidante,Cruelty free",,,No,,,Habilitado,Mascarillas,Todo tipo,,,Rostro
,,,,,,,,Marcas > Formula 10.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Navidad > Regalos por Precio > Hasta $15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO-02481,Mascarilla Facial Peel Off Draw It All Out,24,8990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/f/o/formula-10-fo-02481_1.jpg,https://dbs.cl/mascarilla-facial-peel-off-draw-it-all-out-fo-02481,Skincare > Mascarillas,Mascarilla Facial,"¡Un momento Détox para tu rostro con la ayuda de la Mascarilla Facial Draw It All Out de Formula 10.0.6!Mascarilla facial détox peel off que exfolia y desintoxica la piel. Su fórmula vegana y cruelty free funciona como un imán súper cargado para atraer la suciedad que obstruye los poros, limpiar en profundidad y descongestionar la piel del rostro. El carbón de bambú y la ciruela silvestre trabajan rápidamente para desintoxicar los poros, mientras exfolia suavemente la tez. Ideal para todo tipo de pieles que necesitan un cutis más luminoso y descongestionado. Se recomienda parche de prueba si tienes piel sensible y seca. Es normal que produzca una ligera sensación de hormigueoNo contiene parabenos, sulfatos, minerales oleosos, gluten, aceites, colorantes ni siliconas.","¡Un momento Détox rostro ayuda Mascarilla Facial Draw It All Out Formula 10 0 6! Mascarilla facial détox peel off exfolia desintoxica piel Su fórmula vegana cruelty free funciona imán súper cargado atraer suciedad obstruye poros, limpiar profundidad",Contenido: 100 ml | Tamaño: 6.1 cm largo x 3.2 cm ancho x 15.2 cm alto,Contenido: 100 ml | Tamaño: 6 1 cm largo x 3 2 cm ancho x 15 2 cm alto,"Paso 1: Con la piel limpia y seca, extender una capa fina sobre el rostro y cuello, evitando el contorno de los ojos Paso 2: Deje secar y actuar la mascarilla durante 10 a 15 minutos Paso 3: Retire la mascarilla empezando por la línea de la mandíbula hacia arriba. Aclare con agua tibia los restos de la mascarilla y seque suavemente  Utilice la mascarilla 1 a 3 veces por semana en días alternos. ","Paso 1: Con piel limpia seca, extender capa fina rostro cuello, evitando contorno ojos Paso 2: Deje secar actuar mascarilla 10 15 minutos Paso 3: Retire mascarilla empezando línea mandíbula hacia arriba Aclare agua tibia restos mascarilla seque",Mascarilla Facial Peel Off Draw It All Out | dbs.cl,"Mascarillas, Formula 10.0.06",Mascarilla Facial Peel Off,"Mascarillas,Skincare,Formula 10.0.6,Shop,Season,Hasta $15.000,DBS,Hasta 30% dcto,CYBER,Beauty Offers",FORMULA 10.0.6,100 ml,,,Skincare,Cruelty Free,,2020-05-18 02:56:11,US,,,No,,Peel off,"Antiedad,Antioxidante,Cruelty free",,,No,Poros,,Habilitado,Mascarillas,Todo tipo,,,Rostro
,,,,,,,,Marcas > Formula 10.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Navidad > Regalos por Precio > Hasta $15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO-02542,Macarilla Facial De Limpieza Profunda Deep Down Detox,10,8990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/f/o/formula-10-fo-02542_1.jpg,https://dbs.cl/macarilla-facial-de-limpieza-profunda-deep-down-detox-fo-02542,Skincare > Mascarillas,Mascarilla Facial,"¡Un détox profundo a tu piel con la Mascarilla Facial de Limpieza Profunda Deep Down Détox!Esta mascarilla de barro ultra limpiadora reduce la aparición de impurezas para un cutis más claro y luminoso. Su fórmula vegana y cruelty free con naranja, sal marina y bergamota recarga, limpia, tonifica y equilibra la piel para una limpieza exhaustivaSe recomienda esta mascarilla para las pieles grasas y propensas a manchas. Para pieles más secas, puede utilizarse en los puntos donde se tiende a producir sebo y oleosidad, como la zona T o la barbillaNo contiene sulfatos, aceites minerales, gluten, siliconas ni colorantes.","¡Un détox profundo piel Mascarilla Facial Limpieza Profunda Deep Down Détox! Esta mascarilla barro ultra limpiadora reduce aparición impurezas cutis claro luminoso Su fórmula vegana cruelty free naranja, sal marina bergamota recarga, limpia, tonifica",Contenido: 100 ml | Tamaño: 6.1 cm largo x 3.2 cm ancho x 15.2 cm alto,Contenido: 100 ml | Tamaño: 6 1 cm largo x 3 2 cm ancho x 15 2 cm alto,"Paso 1: Con la piel limpia y seca, extender una capa fina sobre el rostro y cuello, evitando el contorno de los ojos Paso 2: Deje secar y actuar la mascarilla durante 10 a 15 minutos Paso 3: Aclare con abundante agua tibia y seque gentilmente  Utilice la mascarilla 1 a 3 veces por semana en días alternos. ","Paso 1: Con piel limpia seca, extender capa fina rostro cuello, evitando contorno ojos Paso 2: Deje secar actuar mascarilla 10 15 minutos Paso 3: Aclare abundante agua tibia seque gentilmente Utilice mascarilla 1 3 veces semana días alternos",Macarilla Facial de Limpieza Profunda Deep Down Detox | dbs.cl,"Mascarillas, Formula 10.0.06",Mascarilla Facial De Limpieza Profunda Detox,"Mascarillas,Skincare,Formula 10.0.6,Shop,Season,Hasta $15.000,DBS,Hasta 30% dcto,CYBER,Beauty Offers",FORMULA 10.0.6,100 ml,,,Skincare,Cruelty Free,,2020-05-18 02:56:11,US,,,No,,Crema,"Antiedad,Antioxidante,Cruelty free",,,No,Poros,,Habilitado,Mascarillas,Todo tipo,,,Rostro
,,,,,,,,Marcas > Formula 10.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Navidad > Regalos por Precio > Hasta $15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO-02554,Mascarilla Facial De Limpieza Pores Be Pure,7,8990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/f/o/formula-10-fo-02554_1.jpg,https://dbs.cl/mascarilla-facial-de-limpieza-pores-be-pure-fo-02554,Skincare > Mascarillas,Mascarilla Facial,"¡Elimina las impurezas y purifica los poros con la Mascarilla de Limpieza Pores Be Pure de Formula 10.0.6!Esta mascarilla de barro aclarante contiene bayas que actúan directamente sobre los poros obstruidos. Su fórmula vegana y cruelty free de fresa, romero y molenrama limpia en profundidad, por lo que comienza con una sensación de hormigueo mientras los activos se ponen a trabajarEs ideal para pieles normales y mixtas. Puede usarse 3 veces por semana. No contiene sulfatos, aceites minerales, gluten, aceite ni siliconas.","¡Elimina impurezas purifica poros Mascarilla Limpieza Pores Be Pure Formula 10 0 6! Esta mascarilla barro aclarante contiene bayas actúan directamente poros obstruidos Su fórmula vegana cruelty free fresa, romero molenrama limpia profundidad, comienza",Contenido: 100 ml  | Tamaño: 6.1 cm largo x 3.2 cm ancho x 15.2 cm alto,Contenido: 100 ml | Tamaño: 6 1 cm largo x 3 2 cm ancho x 15 2 cm alto,"Paso 1: Con la piel limpia y seca, extender una capa fina sobre el rostro y cuello, evitando el contorno de los ojos Paso 2: Deje secar y actuar la mascarilla durante 10 a 15 minutos Paso 3: Aclare con abundante agua tibia y seque gentilmente  Utilice la mascarilla 1 a 3 veces por semana en días alternos. ","Paso 1: Con piel limpia seca, extender capa fina rostro cuello, evitando contorno ojos Paso 2: Deje secar actuar mascarilla 10 15 minutos Paso 3: Aclare abundante agua tibia seque gentilmente Utilice mascarilla 1 3 veces semana días alternos",Mascarilla Facial de Limpieza Pores Be Pure | dbs.cl,"Mascarillas, Formula 10.0.06",Mascarilla Facial De Limpieza,"Mascarillas,Skincare,Formula 10.0.6,Shop,Season,Hasta $15.000,DBS,Hasta 30% dcto,CYBER,Beauty Offers,Valentines Day ♡",FORMULA 10.0.6,100 ml,,,Skincare,Cruelty Free,,2020-05-18 02:56:11,US,,,No,,Crema,"Antiedad,Antioxidante,Cruelty free",,,No,Poros,,Habilitado,Mascarillas,Todo tipo,,,Rostro
,,,,,,,,Marcas > Formula 10.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Navidad > Regalos por Precio > Hasta $15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Valentines Day ♡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
