id,title,stock,price,type_id,primaryProductId,image,url_key,categories,short_description,description,description_sin_stop_words,especificaciones_del_producto,especificaciones_del_producto_sin_stop_words,modo_de_uso,modo_de_uso_sin_stop_words,meta_title,meta_keyword,meta_description,category_names,marca,weight,acabado,beneficios,catquiz,clasificacion,cobertura,created_at,country_of_manufacture,color_family,color,cyber,descuento,formato,highlights,ingredientes,is_returnable,news,preocupacion,product_label,status,subcatquiz,tipo_de_piel,tipo_de_punta,tipo_esmalte,zona_de_aplicacion
II-35386,Aceite Capilar Oil Non Oil 250 ml,7,17990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/i/n/insight-ii-35386_1.jpg,https://dbs.cl/ii-35386-aceite-capilar-oil-non-oil,Marcas > Insight,Aceite Capilar,Aceite capilar que entrega volumen y elasticidad al cabello. Elimina el efecto frizz.,Aceite capilar entrega volumen elasticidad cabello Elimina efecto frizz,Contenido: 250 ml | Tamaño: 5.0 cm largo x 5.0 cm ancho x 10.0 cm alto,Contenido: 250 ml | Tamaño: 5 0 cm largo x 5 0 cm ancho x 10 0 cm alto,"Aplicar sobre el cabello, ya sea seco o húmedo, y masajear las puntas. No enjuagar.","Aplicar cabello, seco húmedo, masajear puntas No enjuagar",Aceite Capilar Oil Non Oil 250 Ml | dbs.cl,"Aceites Y Serums, Insight",Aceite Capilar Oil Non Oil,"Capilar,Insight,Shop,DBS,Pure Beauty,Hasta 30% dcto,CYBER,Aceites,Beauty Offers,Black Friday",INSIGHT,250 ml,,"Mayor volumen,Hidratación",,"Vegana,Cruelty Free",,2020-05-18 02:56:11,IT,,,No,,Crema,"Antiedad,Antioxidante,Vegano,Cruelty free",,,No,"Pérdida de elasticidad,Frizz,Volumen",,Habilitado,Serums,,,,Cabello
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Pure Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Capilar > Tratamientos > Aceites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Black Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II-35366,Shampoo Protector Color 400 ml,11,10990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/i/n/insight-ii-35366_1.jpg,https://dbs.cl/ii-35366-shampoo-protector-del-color,Capilar > Shampoo,Shampoo para Cabello,"Shampoo específicamente diseñado para tratar el cabello tinturado o con visos. Protege la fibra capilar de agentes externos, nutre profundamente el cabello, mientras protege y extiende la vida del color, dejando el cabello suave y sedoso. Contiene Aceite orgánico de Macadamia + Phytocomplejo Protector del Color (Extracto de Henna, Manteca de Mango y Aceite de Semillas de Uvas).","Shampoo específicamente diseñado tratar cabello tinturado visos Protege fibra capilar agentes externos, nutre profundamente cabello, mientras protege extiende vida color, dejando cabello suave sedoso Contiene Aceite orgánico Macadamia + Phytocomplejo",Contenido: 400 ml | Tamaño: 7.2 cm largo x 7.2 cm ancho x 16.2 cm alto,Contenido: 400 ml | Tamaño: 7 2 cm largo x 7 2 cm ancho x 16 2 cm alto,"Aplicar en el cabello húmedo, distribuyéndolo homogéneamente. Masajea el cabello y enjuágalo con abundante agua.","Aplicar cabello húmedo, distribuyéndolo homogéneamente Masajea cabello enjuágalo abundante agua",Shampoo Protector Color 400 Ml | dbs.cl,"Shampoo, Insight",Shampoo Protector Del Color,"Shampoo,Capilar,Insight,Shop,DBS,Pure Beauty,Hasta 30% dcto,CYBER,Beauty Offers,Black Friday",INSIGHT,400 ml,,"Hidratación,Brillo",,"Vegana,Cruelty Free",,2020-05-18 02:56:11,IT,,,No,,Crema,"Antiedad,Antioxidante,Vegano,Cruelty free",,,No,Cabello teñido,,Habilitado,,,,,Cabello
,,,,,,,,Marcas > Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
